"addr";"price";"name";"geo_lat";"geo_lon"
"Казань; Аметьевская магистраль; д. 18; корп. 5";18300000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13950000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";14000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";17450000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13599999;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13400000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15800000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15350000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16000000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";14220000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";14220000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15600000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15500000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";15250000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13150000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";13200000;avito;55.7669252;49.1714767
"Казань; Аметьевская магистраль; д. 18; корп. 5";16450000;avito;55.7669252;49.1714767
"Казань; Аметьевская ул.; 36А";4400000.0;avito;55.7706842;49.1554942
"Казань; Апастовская ул.; 11А";4000000.0;avito;55.8394039;49.109882
"Казань; Апастовская ул.; 5";3770000.0;avito;55.8397022;49.1117451
"Казань; Апастовская ул.; 9";3770000.0;avito;55.8396591;49.110458
"Казань; Астрономическая ул.; 3/16";13500000;avito;55.7886152;49.1142421
"Казань; Ачинская ул.; 1";7500000.0;avito;55.7398007;49.1492805
"Казань; Ачинская ул.; 1";6990000.0;avito;55.7398007;49.1492805
"Казань; Ачинская ул.; 1";5500000.0;avito;55.7398007;49.1492805
"Казань; Аэропортовская ул.; 25";16000000;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";13373000;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";7880000.0;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";7780000.0;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";7550000.0;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";9820000.0;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";9290000.0;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";9260000.0;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";8550000.0;avito;55.7924256;49.1771751
"Казань; Аэропортовская ул.; 25";10250000;avito;55.7924256;49.1771751
"Казань; Базарная ул.; 2";2210000.0;avito;55.8122993;49.0726646
"Казань; Базарная ул.; 2";3350000.0;avito;55.8122993;49.0726646
"Казань; Базарная ул.; 2";4240000.0;avito;55.8122993;49.0726646
"Казань; Базарная ул.; 7А";8350000.0;avito;55.8135872;49.0708055
"Казань; Бакалейная ул.; 46А";5149000.0;avito;55.8296319;49.0524542
"Казань; Бакалейная ул.; 46А";4140000.0;avito;55.8296319;49.0524542
"Казань; Бакалейная ул.; 48";3350000.0;avito;55.8301718;49.0558796
"Казань; Бакалейная ул.; 48А";4200000.0;avito;55.8303123;49.0547451
"Казань; Бакалейная ул.; 48А";4690000.0;avito;55.8303123;49.0547451
"Казань; Бакалейная ул.; 50А";6180000.0;avito;55.8302799;49.0542379
"Казань; Бакалейная ул.; 52А";6330000.0;avito;55.8302637;49.052636
"Казань; Бакалейная ул.; 52А";6900000.0;avito;55.8302637;49.052636
"Казань; Бакалейная ул.; 52А";7500000.0;avito;55.8302637;49.052636
"Казань; Беломорская ул.; 10/19";5700000.0;avito;55.8652654;49.0823115
"Казань; Беломорская ул.; 106";1570000.0;avito;55.8662894;49.0544653
"Казань; Беломорская ул.; 106";3600000.0;avito;55.8662894;49.0544653
"Казань; Беломорская ул.; 106";3600000.0;avito;55.8662894;49.0544653
"Казань; Беломорская ул.; 17/37";3700000.0;avito;55.864899;49.07783
"Казань; Беломорская ул.; 17/37";6700000.0;avito;55.864899;49.07783
"Казань; Беломорская ул.; 17/37";6700000.0;avito;55.864899;49.07783
"Казань; Беломорская ул.; 33А";2900000.0;avito;55.865111;49.072754
"Казань; Беломорская ул.; 33А";2650000.0;avito;55.865111;49.072754
"Казань; Беломорская ул.; 33А";2650000.0;avito;55.865111;49.072754
"Казань; Беломорская ул.; 35А";6200000.0;avito;55.865157;49.071029
"Казань; Беломорская ул.; 45";3200000.0;avito;55.8652468;49.0633214
"Казань; Беломорская ул.; 5";5700000.0;avito;55.8639923;49.0844275
"Казань; Беломорская ул.; 5";7350000.0;avito;55.8639923;49.0844275
"Казань; Беломорская ул.; 8/18";4800000.0;avito;55.865207;49.083237
"Казань; Беломорская ул.; 8/18";4899000.0;avito;55.865207;49.083237
"Казань; Беломорская ул.; 8/18";7850000.0;avito;55.865207;49.083237
"Казань; Беломорская ул.; 8/18";5399000.0;avito;55.865207;49.083237
"Казань; Беломорская ул.; 8/18";5300000.0;avito;55.865207;49.083237
"Казань; Беломорская ул.; 8/18";7700000.0;avito;55.865207;49.083237
"Казань; Бойничная ул.; 10";10800000;avito;55.7776825;49.1481612
"Казань; Бойничная ул.; 3";5150000.0;avito;55.7788708;49.1485816
"Казань; Бойничная ул.; 3";6900000.0;avito;55.7788708;49.1485816
"Казань; Бойничная ул.; 3";16500000;avito;55.7788708;49.1485816
"Казань; Бойничная ул.; 5";5100000.0;avito;55.7797428;49.1487357
"Казань; Бойничная ул.; 5";13300000;avito;55.7797428;49.1487357
"Казань; Бойничная ул.; 5";11330000;avito;55.7797428;49.1487357
"Казань; Бойничная ул.; 5";15000000;avito;55.7797428;49.1487357
"Казань; Бойничная ул.; 6";6999999.0;avito;55.7795365;49.14791
"Казань; Бойничная ул.; 8";5199000.0;avito;55.7787742;49.1476645
"Казань; Бойничная ул.; 8";6500000.0;avito;55.7787742;49.1476645
"Казань; Бойничная ул.; 8";7900000.0;avito;55.7787742;49.1476645
"Казань; Большая Шоссейная ул.; 6";1999999.0;avito;55.836125;49.082025
"Казань; Ботаническая ул.; 10А";7200000.0;avito;55.7680484;49.1366562
"Казань; Ботаническая ул.; 13";5299999.0;avito;55.766876;49.1404769
"Казань; Ботаническая ул.; 13";5400000.0;avito;55.766876;49.1404769
"Казань; Ботаническая ул.; 14";2690000.0;avito;55.7672049;49.1372781
"Казань; Ботаническая ул.; 14";3099000.0;avito;55.7672049;49.1372781
"Казань; Ботаническая ул.; 14";3099000.0;avito;55.7672049;49.1372781
"Казань; Ботаническая ул.; 14";2390000.0;avito;55.7672049;49.1372781
"Казань; Ботаническая ул.; 14";3290000.0;avito;55.7672049;49.1372781
"Казань; Ботаническая ул.; 14";2990000.0;avito;55.7672049;49.1372781
"Казань; Ботаническая ул.; 14";2700000.0;avito;55.7672049;49.1372781
"Казань; Ботаническая ул.; 16";6100000.0;avito;55.7665963;49.1382288
"Казань; Ботаническая ул.; 16";5299999.0;avito;55.7665963;49.1382288
"Казань; Ботаническая ул.; 17";5050000.0;avito;55.767836;49.1405614
"Казань; Ботаническая ул.; 20";2230000.0;avito;55.7658313;49.1388683
"Казань; Ботаническая ул.; 20";2760000.0;avito;55.7658313;49.1388683
"Казань; Ботаническая ул.; 20";2949000.0;avito;55.7658313;49.1388683
"Казань; Ботаническая ул.; 20";2280000.0;avito;55.7658313;49.1388683
"Казань; Ботаническая ул.; 23/31";2400000.0;avito;55.7649304;49.1406506
"Казань; Ботаническая ул.; 23/31";3675000.0;avito;55.7649304;49.1406506
"Казань; Ботаническая ул.; 23/31к1";3150000.0;avito;55.76524;49.140936
"Казань; Ботаническая ул.; 23/31к1";3400000.0;avito;55.76524;49.140936
"Казань; Ботаническая ул.; 23/31к1";2399999.0;avito;55.76524;49.140936
"Казань; Ботаническая ул.; 23/31к2";2700000.0;avito;55.765037;49.140155
"Казань; Ботаническая ул.; 9";4750000.0;avito;55.7666245;49.1391433
"Казань; Ботаническая ул.; 9";5100000.0;avito;55.7666245;49.1391433
"Казань; Бухарская ул.; 30";8700000.0;avito;55.7733065;49.1960825
"Казань; Вахитовский район";6500000.0;avito;55.8368782;49.1357002
"Казань; Вахитовский район; Большая Красная ул.; 1А";11000000;avito;55.7990179;49.1116822
"Казань; Вахитовский район; Большая Красная ул.; 1А";7890000.0;avito;55.7990179;49.1116822
"Казань; Вахитовский район; Большая Красная ул.; 1Б";13000000;avito;55.7991268;49.1110732
"Казань; Вахитовский район; Большая Красная ул.; 1Б";9000000.0;avito;55.7991268;49.1110732
"Казань; Вахитовский район; Большая Красная ул.; 22А";12500000;avito;55.7979304;49.1172202
"Казань; Вахитовский район; Большая Красная ул.; 54";14000000;avito;55.796543;49.132385
"Казань; Вахитовский район; Большая Красная ул.; 6";22250000;avito;55.7974519;49.1246114
"Казань; Вахитовский район; Большая Красная ул.; 6";24990000;avito;55.7974519;49.1246114
"Казань; Вахитовский район; Большая Красная ул.; 63";19000000;avito;55.7962741;49.138864
"Казань; Вахитовский район; жилой массив Аметьево; Дачная ул.; 5";7200000.0;avito;55.769449;49.167257
"Казань; Вахитовский район; жилой массив Аметьево; Дачная ул.; 5";5490000.0;avito;55.769449;49.167257
"Казань; Вахитовский район; жилой массив Аметьево; Дачная ул.; 7";5200000.0;avito;55.770036;49.16776
